,ID,comp,duration,meanfreq,sd,freq.median,freq.Q25,freq.Q75,freq.IQR,time.median,time.Q25,time.Q75,time.IQR,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf
2120,f045_m044.wav_1,thump,0.984331065759637,5.44651131097036,6.88379088430763,2.10002770850651,0.463286228872264,7.14029740463656,6.67701117576429,0.447959047890613,0.229873721943867,0.683726967833041,0.453853245889174,12.9855645197498,242.81845092175,0.89433184720025,0.858321838380357,0.767624555211019,0.482500382229905,0.376755763767483,0.04306640625,16.32216796875,16.2791015625,4.45502645502645,0.21533203125,0.04306640625,-0.175007810880232,0.129538324311024
2019,f045_m044.wav_1,thump,1.09367346938776,5.85403487311794,6.96753823562233,2.58586866167914,0.748877805486284,8.31354945968412,7.56467165419784,0.470397191134518,0.123479262672811,0.740875576036866,0.617396313364055,18.7360725696206,574.5321034982,0.907836512581126,0.859043334749089,0.779870905174674,0.487149154704137,0.289894764458955,0.04306640625,2.36865234375,2.3255859375,8.22222222222222,0.04306640625,0.04306640625,0,0.129538324311024
1869,f045_m044.wav_1,thump,1.19462585034014,4.93265939075655,6.06654943531376,2.41588980632396,1.04722042540238,5.57513032228606,4.52790989688368,0.559061358533561,0.205969974196575,0.829764753191917,0.623794778995342,5.10160859457895,45.1893737523674,0.912936401667273,0.859856451597616,0.784994254871917,0.392422980204145,1.16689453125,0.04306640625,9.25927734375,9.2162109375,8.39252336448598,0.04306640625,4.86650390625,4.03761353282843,0.216010242372047
2054,f045_m044.wav_1,thump,1.21986394557823,5.34685799886821,6.5844024230192,2.3551812795767,0.696799195141037,6.9417595111227,6.24496031598167,0.592337781266353,0.258048142333857,0.862115384615385,0.604067242281528,19.8266536466803,678.012830097258,0.900919551997263,0.86022989775831,0.774997934103067,0.432173282514211,0.716178385416667,0.04306640625,9.43154296875,9.3884765625,4.11009174311927,0.04306640625,6.58916015625,5.3662490589449,0.129538324311024
1947,f045_m044.wav_1,thump,1.28716553287982,5.97183287290044,7.04983582660325,2.54363103436098,0.623088604018787,9.34710597874069,8.7240173747219,0.599501755039916,0.229221259279968,0.87574275981321,0.646521500533242,12.1893995091208,227.870652327614,0.913078276552876,0.860823856134468,0.78599956297486,0.543446702370423,0.206572762182203,0.04306640625,1.24892578125,1.205859375,8.5,0.47373046875,0.04306640625,-0.334583277363294,0.216010242372047
1639,f045_m044.wav_1,thump,1.32922902494331,5.00122203572121,6.32805902308376,2.07947472813077,0.809520552629779,6.16544695985227,5.35592640722249,0.64108833503903,0.223498685609937,0.952810186021311,0.729311500411374,5.29677957599101,46.3433965720429,0.912328769338475,0.861089728193946,0.785596932013185,0.4307451226979,0.744241333007812,0.04306640625,8.22568359375,8.1826171875,5.69473684210526,0.12919921875,0.04306640625,-0.064799075918218,0.216010242372047
1307,f045_m044.wav_1,thump,1.3881179138322,5.09016401359381,6.22638268713403,2.35575348745825,0.618835549151876,6.73875171916956,6.11991617001768,0.614988949166164,0.292851880555316,0.960554168221438,0.667702287666121,6.55805568405941,67.5136643471159,0.915542846386531,0.861785932515558,0.789001945631164,0.472667108881103,0.612751850328947,0.04306640625,19.16455078125,19.121484375,4.94594594594595,1.24892578125,0.04306640625,-0.868700967680018,0.129538324311024
1909,f045_m044.wav_1,thump,1.4049433106576,5.2931120506062,6.26342657272926,2.73469651870066,0.991523230231655,6.42034424744403,5.42882101721237,0.737595238095238,0.398067271352986,1.0302917611489,0.632224489795918,6.8358247597759,93.0296420737672,0.920501838329505,0.861957817625254,0.793433755686534,0.464540430595652,0.8563037109375,0.04306640625,4.43583984375,4.3927734375,21.7647058823529,1.07666015625,0.04306640625,-0.735683598163272,0.216010242372047
1535,f045_m044.wav_1,thump,1.51430839002268,6.61884540261631,6.79414179907369,4.03031758419884,1.18802905685297,9.31404214444378,8.1260130875908,0.680851834273761,0.252384731670446,1.04475540086836,0.792370669197912,5.82194963379452,59.5102068423567,0.942167663297462,0.862931800336384,0.813026437908003,0.506826922196168,1.412578125,0.04306640625,5.64169921875,5.5986328125,15.0461538461538,0.21533203125,1.07666015625,0.568793074564622,0.475425996555118
1826,f045_m044.wav_1,thump,1.53113378684807,4.95241855238532,6.14299644200704,2.16251039068994,0.884989906186914,6.06691604322527,5.18192613703836,0.721568796100816,0.381316843467911,1.0970192265923,0.715702383124386,5.04472851182768,41.363457147222,0.915517595847802,0.86308142160182,0.790166228125802,0.408677045508001,0.888204152960526,0.04306640625,21.31787109375,21.2748046875,5.53441295546559,3.05771484375,0.04306640625,-1.96889942825037,0.216010242372047
2088,f045_m044.wav_1,thump,1.58160997732426,4.8006951373856,6.45067194479342,1.81341610622521,0.656952348105995,5.27711674426625,4.62016439616026,0.761515915007978,0.351468883849836,1.09541135466532,0.743942470815487,6.45621769767652,70.1276751563092,0.902181263852246,0.863574438311716,0.779100678186557,0.35631677065601,0.665044696514423,0.04306640625,5.12490234375,5.0818359375,12.2542372881356,0.30146484375,1.59345703125,0.816884191440021,0.129538324311024
1247,f045_m044.wav_1,thump,1.59843537414966,7.43012267382717,7.88545407755871,3.47407934025309,0.466088440210437,16.1041376368548,15.6380491966444,0.831420597543047,0.263478358376318,1.20614537390048,0.942667015524159,19.6893549213823,583.143567600175,0.917560875838689,0.86375892397318,0.792551394794315,0.517302171008313,0.597620130565068,0.04306640625,9.34541015625,9.30234375,6.72222222222222,0.12919921875,0.12919921875,0,0.129538324311024
1782,f045_m044.wav_1,thump,1.86764172335601,4.67379732396756,6.19395392849292,1.87996203178621,0.708399250371164,5.57830944094239,4.86991019057123,0.878201437314738,0.491792804896253,1.29973812722581,0.807945322329559,7.59476350006166,117.312270457458,0.906401144369964,0.865996155767698,0.784939906607831,0.3671175859943,0.698562442555147,0.04306640625,14.94404296875,14.9009765625,6.95375722543353,1.33505859375,0.04306640625,-0.691777320747787,0.216010242372047
1423,f045_m044.wav_1,thump,1.87603174603175,5.04763792534299,6.66112253885885,1.62846481876333,0.557569296375267,6.16791044776119,5.61034115138593,0.806518320723928,0.385726153389705,1.29159818028977,0.905872026900064,7.76615380146129,89.3299287420359,0.901933437421859,0.866166020823928,0.781224096539739,0.373600360428729,0.608039261122881,0.04306640625,3.83291015625,3.78984375,13.4545454545455,0.04306640625,0.04306640625,0,0.216010242372047
1736,f045_m044.wav_1,thump,1.89285714285714,4.07737976914556,5.53735595406841,1.80048989001489,0.707410787186014,4.41458143220787,3.70717064502185,0.934744268077601,0.590057319223986,1.33201058201058,0.741953262786596,6.61098239780961,87.8190150751966,0.899461573534142,0.866182198984548,0.779097603665905,0.349965112513292,0.974457789179104,0.04306640625,15.20244140625,15.159375,8.94886363636364,0.21533203125,0.81826171875,0.318528891509434,0.216010242372047
1984,f045_m044.wav_1,thump,2.17047619047619,5.93608877621348,6.92282465282718,2.68330890052356,0.744083769633508,8.32129842931937,7.57721465968586,0.900952380952381,0.45047619047619,1.48598639455782,1.03551020408163,8.70743240918093,157.936557195922,0.928117755228227,0.868371552810787,0.805951056298798,0.451414461094341,0.780063688858696,0.04306640625,6.76142578125,6.718359375,12.1538461538462,0.04306640625,0.04306640625,0,0.216010242372047
1689,f045_m044.wav_1,thump,2.38079365079365,5.05215344386064,6.16547730414854,2.44673132732549,0.936268519932794,5.76252482052849,4.82625630059569,1.03867958294429,0.554351462807345,1.6338779956427,1.07952653283536,5.36733276740187,50.252315869716,0.920688600986231,0.869848342876663,0.800859453873306,0.418218812704357,0.963680752840909,0.04306640625,5.46943359375,5.4263671875,25.3968253968254,0.90439453125,0.04306640625,-0.36178193129542,0.216010242372047
1588,f045_m044.wav_1,thump,2.55746031746032,5.78921731346359,6.96827413801342,2.2538034977961,0.980271576851984,7.57080904308261,6.59053746623063,1.31960281220555,0.747385663550047,1.88014205986809,1.13275639631804,5.04923700472131,39.9910833963001,0.920658402864475,0.870974273425107,0.801869783507605,0.441698686464058,0.967514760257634,0.04306640625,6.41689453125,6.373828125,16.7297297297297,2.28251953125,3.83291015625,0.606222749348312,0.302482160433071
1367,f045_m044.wav_1,thump,2.84349206349206,6.79761627345013,7.59840217281988,2.77831063367223,0.601029477588081,14.1250719355457,13.5240424579577,1.44218180632965,0.583879273817672,2.17786969133992,1.59399041752225,9.20522497326121,138.755282460271,0.928896059404154,0.872680887052436,0.81062983710033,0.492666456165443,0.637286034058989,0.04306640625,21.83466796875,21.7916015625,9.5098814229249,0.21533203125,0.04306640625,-0.060582418080831,0.216010242372047
